"time","CP","Center","middle","edge","brine","heater","plasma"
"0.000000","50.600000","52.600000","51.600000","54.600000","20","120","30"
"1.000000","50.770000","53.043750","52.062963","53.960000","20","120","30"
"2.000000","50.911187","53.362269","52.388062","53.490686","20","120","30"
"3.000000","51.025945","53.591038","52.615813","53.145822","20","120","30"
"4.000000","51.117713","53.755383","52.774934","52.891855","20","120","30"
"5.000000","51.190168","53.873424","52.885755","52.704400","20","120","30"
"6.000000","51.246789","53.958157","52.962645","52.565706","20","120","30"
"7.000000","51.290660","54.018922","53.015751","52.462835","20","120","30"
"8.000000","51.324408","54.062436","53.052227","52.386336","20","120","30"
"9.000000","51.350208","54.093537","53.077109","52.329294","20","120","30"
"10.000000","51.369822","54.115713","53.093936","52.286641","20","120","30"
"11.000000","51.384661","54.131477","53.105190","52.254656","20","120","30"
"12.000000","51.395837","54.142642","53.112609","52.230599","20","120","30"
"13.000000","51.404218","54.150514","53.117405","52.212451","20","120","30"
"14.000000","51.410478","54.156032","53.120422","52.198716","20","120","30"
"15.000000","51.415136","54.159874","53.122243","52.188290","20","120","30"
"16.000000","51.418589","54.162526","53.123272","52.180349","20","120","30"
"17.000000","51.421139","54.164337","53.123786","52.174283","20","120","30"
"18.000000","51.423014","54.165556","53.123972","52.169632","20","120","30"
"19.000000","51.424388","54.166362","53.123957","52.166056","20","120","30"
"20.000000","51.425389","54.166881","53.123825","52.163298","20","120","30"
