time,chip,sink_base,fins,chip_power,coolant_temperature,inlet_air_velocity,truth_chip_max,truth_fins_max,truth_outlet_air_temperature,truth_pressure_drop,truth_radiative_heat_rate,truth_energy_residual,truth_hidden_power,truth_effective_air_velocity,case_id,case_group,fidelity,radiation_enabled,surface_emissivity_sink,surface_emissivity_channel,mesh_profile,mesh_size_level,input_convention,source_model
0,25.00000941,25.00000941,25.0000094,0,25,0.1,25.00000943,25.00000948,25.00001061,0.01391199062,0,9.62570014e-06,0,0.1,NT04_air_velocity_levels,air_velocity,conjugate_laminar,False,0.9,0.85,global-8,8,left_zero_order_hold,COMSOL 6.4 Electronic Chip Cooling
10,25.00000941,25.00000941,25.0000094,0,25,0.1,25.00000943,25.00000948,25.00001062,0.01390321682,0,6.07542808e-06,0,0.1,NT04_air_velocity_levels,air_velocity,conjugate_laminar,False,0.9,0.85,global-8,8,left_zero_order_hold,COMSOL 6.4 Electronic Chip Cooling
20,25.00000941,25.00000941,25.0000094,0,25,0.1,25.00000943,25.00000948,25.00001062,0.01390149893,0,6.075480752e-06,0,0.1,NT04_air_velocity_levels,air_velocity,conjugate_laminar,False,0.9,0.85,global-8,8,left_zero_order_hold,COMSOL 6.4 Electronic Chip Cooling
30,25.00000941,25.00000941,25.00000941,0,25,0.1,25.00000943,25.00000948,25.00001061,0.0138996731,0,6.074083108e-06,0,0.1,NT04_air_velocity_levels,air_velocity,conjugate_laminar,False,0.9,0.85,global-8,8,left_zero_order_hold,COMSOL 6.4 Electronic Chip Cooling
40,25.00000941,25.00000941,25.00000941,8,25,0.1,25.00000943,25.00000948,25.00001061,0.01389921343,0,6.073312116e-06,0,0.1,NT04_air_velocity_levels,air_velocity,conjugate_laminar,False,0.9,0.85,global-8,8,left_zero_order_hold,COMSOL 6.4 Electronic Chip Cooling
50,26.24675115,26.08322168,25.68184011,8,25,0.1,26.32867154,26.15199133,25.14390398,0.01443413777,0,-3.275342176e-06,0,0.1,NT04_air_velocity_levels,air_velocity,conjugate_laminar,False,0.9,0.85,global-8,8,left_zero_order_hold,COMSOL 6.4 Electronic Chip Cooling
60,27.25616839,27.0855652,26.61236333,8,25,0.1,27.34321238,27.1618767,25.40976274,0.01459527291,0,0.001099411827,0,0.1,NT04_air_velocity_levels,air_velocity,conjugate_laminar,False,0.9,0.85,global-8,8,left_zero_order_hold,COMSOL 6.4 Electronic Chip Cooling
70,28.20454559,28.03251675,27.54744065,8,25,0.1,28.29260604,28.11067069,25.68654709,0.01471808707,0,0.001039119391,0,0.1,NT04_air_velocity_levels,air_velocity,conjugate_laminar,False,0.9,0.85,global-8,8,left_zero_order_hold,COMSOL 6.4 Electronic Chip Cooling
80,29.12309905,28.95025519,28.45741817,8,25,0.1,29.21167291,29.02915436,25.95619148,0.01481007373,0,0.0003160590487,0,0.1,NT04_air_velocity_levels,air_velocity,conjugate_laminar,False,0.9,0.85,global-8,8,left_zero_order_hold,COMSOL 6.4 Electronic Chip Cooling
90,30.0251865,29.85155349,29.35078191,8,25,0.1,30.1142378,29.93107892,26.22074494,0.01488878488,0,0.001354504362,0,0.1,NT04_air_velocity_levels,air_velocity,conjugate_laminar,False,0.9,0.85,global-8,8,left_zero_order_hold,COMSOL 6.4 Electronic Chip Cooling
100,30.90845418,30.7340506,30.22530019,8,25,0.1,30.9979613,30.81413627,26.47964696,0.01495280922,0,0.001531427052,0,0.1,NT04_air_velocity_levels,air_velocity,conjugate_laminar,False,0.9,0.85,global-8,8,left_zero_order_hold,COMSOL 6.4 Electronic Chip Cooling
110,31.77517968,31.60002133,31.08334798,8,25,0.1,31.86512881,31.68063173,26.73383544,0.01500368286,0,-0.0003090321863,0,0.1,NT04_air_velocity_levels,air_velocity,conjugate_laminar,False,0.9,0.85,global-8,8,left_zero_order_hold,COMSOL 6.4 Electronic Chip Cooling
120,32.62460037,32.44870412,31.92430784,8,25,0.1,32.71498292,32.52983142,26.98313387,0.01505313681,0,9.020666217e-05,0,0.1,NT04_air_velocity_levels,air_velocity,conjugate_laminar,False,0.9,0.85,global-8,8,left_zero_order_hold,COMSOL 6.4 Electronic Chip Cooling
130,33.45233594,33.27572007,32.74386003,8,25,0.1,33.5431434,33.3573655,27.22582018,0.01510421929,0,0.001834883473,0,0.1,NT04_air_velocity_levels,air_velocity,conjugate_laminar,False,0.9,0.85,global-8,8,left_zero_order_hold,COMSOL 6.4 Electronic Chip Cooling
140,34.26143521,34.08411489,33.54496211,8,25,0.1,34.35265845,34.16627084,27.46286047,0.01514972063,0,0.001598674779,0,0.1,NT04_air_velocity_levels,air_velocity,conjugate_laminar,False,0.9,0.85,global-8,8,left_zero_order_hold,COMSOL 6.4 Electronic Chip Cooling
150,35.05283109,34.87482111,34.32852474,8,25,0.1,35.14446086,34.95747636,27.69470286,0.01519115376,0,0.001471008234,0,0.1,NT04_air_velocity_levels,air_velocity,conjugate_laminar,False,0.9,0.85,global-8,8,left_zero_order_hold,COMSOL 6.4 Electronic Chip Cooling
160,35.82701273,35.64832791,35.09503793,8,25,0.1,35.91903996,35.73147082,27.92156061,0.01523076789,0,0.0014137239,0,0.1,NT04_air_velocity_levels,air_velocity,conjugate_laminar,False,0.9,0.85,global-8,8,left_zero_order_hold,COMSOL 6.4 Electronic Chip Cooling
170,36.5843752,36.4050302,35.84489872,8,25,0.1,36.6767911,36.48864994,28.14353416,0.01526906771,0,0.001397572634,0,0.1,NT04_air_velocity_levels,air_velocity,conjugate_laminar,False,0.9,0.85,global-8,8,left_zero_order_hold,COMSOL 6.4 Electronic Chip Cooling
180,37.32529027,37.14529944,36.57847708,8,25,0.1,37.41808636,37.22938584,28.36070912,0.01530576858,0,0.001384813202,0,0.1,NT04_air_velocity_levels,air_velocity,conjugate_laminar,False,0.9,0.85,global-8,8,left_zero_order_hold,COMSOL 6.4 Electronic Chip Cooling
190,38.05011897,37.86949629,37.29613047,8,25,0.1,38.14328711,37.95403963,28.57317883,0.0153408392,0,0.001364546218,0,0.1,NT04_air_velocity_levels,air_velocity,conjugate_laminar,False,0.9,0.85,global-8,8,left_zero_order_hold,COMSOL 6.4 Electronic Chip Cooling
200,38.75921382,38.5779729,37.99820772,8,25,0.1,38.85274607,38.66296373,28.78103543,0.01537452905,0,0.001342827099,0,0.1,NT04_air_velocity_levels,air_velocity,conjugate_laminar,False,0.9,0.85,global-8,8,left_zero_order_hold,COMSOL 6.4 Electronic Chip Cooling
210,39.45482694,39.27297949,38.6869379,8,25,0.1,39.54871645,39.3584095,28.98497586,0.01540597437,0,-0.0002118027402,0,0.1,NT04_air_velocity_levels,air_velocity,conjugate_laminar,False,0.9,0.85,global-8,8,left_zero_order_hold,COMSOL 6.4 Electronic Chip Cooling
220,40.13658737,39.95414543,39.36195346,8,25,0.1,40.23082704,40.04040284,29.18487243,0.01543714308,0,7.219403787e-05,0,0.1,NT04_air_velocity_levels,air_velocity,conjugate_laminar,False,0.9,0.85,global-8,8,left_zero_order_hold,COMSOL 6.4 Electronic Chip Cooling
230,40.80396138,40.62093743,40.0227264,8,25,0.1,40.89854389,40.70832633,29.38053223,0.0154683781,0,0.0001377520503,0,0.1,NT04_air_velocity_levels,air_velocity,conjugate_laminar,False,0.9,0.85,global-8,8,left_zero_order_hold,COMSOL 6.4 Electronic Chip Cooling
240,41.45683713,41.27324368,40.66914567,8,25,0.1,41.55175518,41.36173946,29.57189186,0.01549852093,0,0.0001139427937,0,0.1,NT04_air_velocity_levels,air_velocity,conjugate_laminar,False,0.9,0.85,global-8,8,left_zero_order_hold,COMSOL 6.4 Electronic Chip Cooling
250,42.09541559,41.91126495,41.3014098,8,25,0.1,42.1906619,42.00084347,29.75900682,0.01552714516,0,5.590428868e-05,0,0.1,NT04_air_velocity_levels,air_velocity,conjugate_laminar,False,0.9,0.85,global-8,8,left_zero_order_hold,COMSOL 6.4 Electronic Chip Cooling
260,42.7200191,42.53532339,41.91983805,8,25,0.1,42.81558635,42.6259611,29.94201584,0.01555481927,0,1.936501326e-05,0,0.1,NT04_air_velocity_levels,air_velocity,conjugate_laminar,False,0.9,0.85,global-8,8,left_zero_order_hold,COMSOL 6.4 Electronic Chip Cooling
270,43.33098463,43.14575579,42.52476382,8,25,0.1,43.42686561,43.23742942,30.12109031,0.0155819707,0,2.511211735e-05,0,0.1,NT04_air_velocity_levels,air_velocity,conjugate_laminar,False,0.9,0.85,global-8,8,left_zero_order_hold,COMSOL 6.4 Electronic Chip Cooling
280,43.9286295,43.74287924,43.11650086,8,25,0.1,44.02481751,43.83556599,30.29634636,0.0156085115,0,5.347040417e-05,0,0.1,NT04_air_velocity_levels,air_velocity,conjugate_laminar,False,0.9,0.85,global-8,8,left_zero_order_hold,COMSOL 6.4 Electronic Chip Cooling
290,44.51325112,44.3269907,43.69534442,8,25,0.1,44.6097398,44.42066866,30.46779526,0.01563428557,0,8.257696758e-05,0,0.1,NT04_air_velocity_levels,air_velocity,conjugate_laminar,False,0.9,0.85,global-8,8,left_zero_order_hold,COMSOL 6.4 Electronic Chip Cooling
300,45.0851355,44.89837591,44.26157852,8,25,0.1,45.18191842,44.99302384,30.63543828,0.01565937078,0,9.333820478e-05,0,0.1,NT04_air_velocity_levels,air_velocity,conjugate_laminar,False,0.9,0.85,global-8,8,left_zero_order_hold,COMSOL 6.4 Electronic Chip Cooling
310,45.64456196,45.45731404,44.81547805,8,25,0.08333333333,45.7416325,45.5529107,30.79941936,0.01568391774,0,7.326271014e-05,0,0.08333333333,NT04_air_velocity_levels,air_velocity,conjugate_laminar,False,0.9,0.85,global-8,8,left_zero_order_hold,COMSOL 6.4 Electronic Chip Cooling
320,46.23063949,46.04494533,45.41827503,8,25,0.06666666667,46.32668063,46.1373442,31.30493805,0.01234064613,0,0.001889034067,0,0.06666666667,NT04_air_velocity_levels,air_velocity,conjugate_laminar,False,0.9,0.85,global-8,8,left_zero_order_hold,COMSOL 6.4 Electronic Chip Cooling
330,46.85943933,46.67541512,46.06551126,8,25,0.05,46.95439489,46.76448641,32.00196703,0.009261678874,0,0.001400636923,0,0.05,NT04_air_velocity_levels,air_velocity,conjugate_laminar,False,0.9,0.85,global-8,8,left_zero_order_hold,COMSOL 6.4 Electronic Chip Cooling
340,47.53611985,47.35391435,46.76244928,8,25,0.05,47.62994445,47.43998892,33.04781574,0.00647083952,0,0.002037429232,0,0.05,NT04_air_velocity_levels,air_velocity,conjugate_laminar,False,0.9,0.85,global-8,8,left_zero_order_hold,COMSOL 6.4 Electronic Chip Cooling
350,48.21748074,48.03493338,47.44041923,8,25,0.05,48.31145171,48.12144382,33.33155506,0.006480550492,0,0.0007401751997,0,0.05,NT04_air_velocity_levels,air_velocity,conjugate_laminar,False,0.9,0.85,global-8,8,left_zero_order_hold,COMSOL 6.4 Electronic Chip Cooling
360,48.88966031,48.70672672,48.10826036,8,25,0.05,48.9838247,48.79380902,33.57894507,0.006492631143,0,0.0002664415964,0,0.05,NT04_air_velocity_levels,air_velocity,conjugate_laminar,False,0.9,0.85,global-8,8,left_zero_order_hold,COMSOL 6.4 Electronic Chip Cooling
370,49.55122532,49.36791502,48.76554974,8,25,0.05,49.64559116,49.45572067,33.82773402,0.006504703206,0,0.000593576734,0,0.05,NT04_air_velocity_levels,air_velocity,conjugate_laminar,False,0.9,0.85,global-8,8,left_zero_order_hold,COMSOL 6.4 Electronic Chip Cooling
380,50.20383023,50.02015052,49.41395717,8,25,0.05,50.29839886,50.10867018,34.07467265,0.006516581583,0,0.0007630403844,0,0.05,NT04_air_velocity_levels,air_velocity,conjugate_laminar,False,0.9,0.85,global-8,8,left_zero_order_hold,COMSOL 6.4 Electronic Chip Cooling
390,50.84745087,50.66340744,50.05344507,8,25,0.05,50.94222166,50.75263293,34.31856954,0.00652831742,0,0.0008289216124,0,0.05,NT04_air_velocity_levels,air_velocity,conjugate_laminar,False,0.9,0.85,global-8,8,left_zero_order_hold,COMSOL 6.4 Electronic Chip Cooling
400,51.48218332,51.29778106,50.68410135,8,25,0.05,51.57715451,51.38770427,34.55911676,0.006539920685,0,0.0008316297197,0,0.05,NT04_air_velocity_levels,air_velocity,conjugate_laminar,False,0.9,0.85,global-8,8,left_zero_order_hold,COMSOL 6.4 Electronic Chip Cooling
410,52.10814409,51.92338765,51.30603997,8,25,0.05,52.20331336,52.01400007,34.79632407,0.00655136571,0,0.0008165838916,0,0.05,NT04_air_velocity_levels,air_velocity,conjugate_laminar,False,0.9,0.85,global-8,8,left_zero_order_hold,COMSOL 6.4 Electronic Chip Cooling
420,52.72545182,52.54034583,51.91937926,8,25,0.05,52.82081661,52.63163859,35.030224,0.006562621063,0,0.0008069015979,0,0.05,NT04_air_velocity_levels,air_velocity,conjugate_laminar,False,0.9,0.85,global-8,8,left_zero_order_hold,COMSOL 6.4 Electronic Chip Cooling
430,53.33422439,53.14877349,52.52423699,8,25,0.05,53.42978205,53.24073762,35.26083718,0.006573665287,0,0.0008050160811,0,0.05,NT04_air_velocity_levels,air_velocity,conjugate_laminar,False,0.9,0.85,global-8,8,left_zero_order_hold,COMSOL 6.4 Electronic Chip Cooling
440,53.93457849,53.74878728,53.1207294,8,25,0.05,54.03032641,53.84141386,35.48821259,0.006584496354,0,0.0008052761531,0,0.05,NT04_air_velocity_levels,air_velocity,conjugate_laminar,False,0.9,0.85,global-8,8,left_zero_order_hold,COMSOL 6.4 Electronic Chip Cooling
450,54.52768762,54.34156004,53.71002202,8,25,0.05,54.62362354,54.43484148,35.71282802,0.006594884678,0,-3.347787876e-05,0,0.05,NT04_air_velocity_levels,air_velocity,conjugate_laminar,False,0.9,0.85,global-8,8,left_zero_order_hold,COMSOL 6.4 Electronic Chip Cooling
460,55.1132876,54.92682776,54.29185277,8,25,0.05,55.20940918,55.02075613,35.93466316,0.006605286979,0,0.000122794448,0,0.05,NT04_air_velocity_levels,air_velocity,conjugate_laminar,False,0.9,0.85,global-8,8,left_zero_order_hold,COMSOL 6.4 Electronic Chip Cooling
470,55.69102347,55.50423571,54.86586966,8,25,0.05,55.78732829,55.59880267,36.1536663,0.006615819703,0,0.0001576913197,0,0.05,NT04_air_velocity_levels,air_velocity,conjugate_laminar,False,0.9,0.85,global-8,8,left_zero_order_hold,COMSOL 6.4 Electronic Chip Cooling
480,56.26077006,56.07365876,55.43194823,8,25,0.05,56.35725572,56.16885586,36.3698045,0.006626239065,0,0.0001452739198,0,0.05,NT04_air_velocity_levels,air_velocity,conjugate_laminar,False,0.9,0.85,global-8,8,left_zero_order_hold,COMSOL 6.4 Electronic Chip Cooling
490,56.82257374,56.63514329,55.99013404,8,25,0.05,56.91923785,56.73096214,36.58301131,0.00663642848,0,0.0001208546669,0,0.05,NT04_air_velocity_levels,air_velocity,conjugate_laminar,False,0.9,0.85,global-8,8,left_zero_order_hold,COMSOL 6.4 Electronic Chip Cooling
500,57.37654848,57.18880319,56.54054022,8,25,0.05,57.47338865,57.28523553,36.79320408,0.00664645451,0,0.0001152170833,0,0.05,NT04_air_velocity_levels,air_velocity,conjugate_laminar,False,0.9,0.85,global-8,8,left_zero_order_hold,COMSOL 6.4 Electronic Chip Cooling
510,57.92281799,57.73476209,57.08329003,8,25,0.05,58.01983187,57.83179981,37.00037704,0.006656327056,0,0.0001275854832,0,0.05,NT04_air_velocity_levels,air_velocity,conjugate_laminar,False,0.9,0.85,global-8,8,left_zero_order_hold,COMSOL 6.4 Electronic Chip Cooling
520,58.46149812,58.27313578,57.61849868,8,25,0.05,58.5586834,58.37077089,37.20466262,0.006665978225,0,0.0001351135145,0,0.05,NT04_air_velocity_levels,air_velocity,conjugate_laminar,False,0.9,0.85,global-8,8,left_zero_order_hold,COMSOL 6.4 Electronic Chip Cooling
530,58.99269671,58.80403208,58.14627315,8,25,0.05,59.09005114,58.90225662,37.40627154,0.006675453483,0,0.0001299234461,0,0.05,NT04_air_velocity_levels,air_velocity,conjugate_laminar,False,0.9,0.85,global-8,8,left_zero_order_hold,COMSOL 6.4 Electronic Chip Cooling
540,59.51651712,59.3275543,58.66671611,8,25,0.05,59.61403844,59.42636037,37.60531703,0.006684904255,0,0.0001283219446,0,0.05,NT04_air_velocity_levels,air_velocity,conjugate_laminar,False,0.9,0.85,global-8,8,left_zero_order_hold,COMSOL 6.4 Electronic Chip Cooling
550,60.03306051,59.84380351,59.17992829,8,25,0.05,60.13074648,59.94318339,37.80169355,0.00669437062,0,0.0001428910828,0,0.05,NT04_air_velocity_levels,air_velocity,conjugate_laminar,False,0.9,0.85,global-8,8,left_zero_order_hold,COMSOL 6.4 Electronic Chip Cooling
560,60.54242674,60.35287952,59.68600894,8,25,0.05,60.64027516,60.4528256,37.99520243,0.006703720675,0,0.000162946501,0,0.05,NT04_air_velocity_levels,air_velocity,conjugate_laminar,False,0.9,0.85,global-8,8,left_zero_order_hold,COMSOL 6.4 Electronic Chip Cooling
570,61.04471458,60.85488106,60.18505607,8,25,0.05,61.14272326,60.95538577,38.18582637,0.006712817583,0,0.0001700189242,0,0.05,NT04_air_velocity_levels,air_velocity,conjugate_laminar,False,0.9,0.85,global-8,8,left_zero_order_hold,COMSOL 6.4 Electronic Chip Cooling
