case_id,time,chip,sink_base,fins,chip_power,coolant_temperature,inlet_air_velocity,mesh_uncertainty_chip,mesh_uncertainty_sink_base,mesh_uncertainty_fins,mesh_profile,mesh_qualified,benchmark_qualified,temporal_qualified,qualification_basis,temporal_qualification_basis
HV02_composite_radiation,0,24.99816052,24.99816058,24.99816868,0,25,0.1,0.4962085957,0.4954013419,0.4922401557,local-medium,False,True,False,local-medium benchmark qualification; conservative maximum local-medium-to-fine difference at MC01/MC02,adaptive transient solve converged; independent time-step study not performed
HV02_composite_radiation,20,24.99816011,24.99816016,24.99816824,0,25,0.1,0.4962085957,0.4954013419,0.4922401557,local-medium,False,True,False,local-medium benchmark qualification; conservative maximum local-medium-to-fine difference at MC01/MC02,adaptive transient solve converged; independent time-step study not performed
HV02_composite_radiation,40,24.99815973,24.99815978,24.99816788,0,25,0.1,0.4962085957,0.4954013419,0.4922401557,local-medium,False,True,False,local-medium benchmark qualification; conservative maximum local-medium-to-fine difference at MC01/MC02,adaptive transient solve converged; independent time-step study not performed
HV02_composite_radiation,60,24.99815948,24.99815953,24.99816765,4,25,0.1,0.4962085957,0.4954013419,0.4922401557,local-medium,False,True,False,local-medium benchmark qualification; conservative maximum local-medium-to-fine difference at MC01/MC02,adaptive transient solve converged; independent time-step study not performed
HV02_composite_radiation,80,26.15398647,26.06231864,25.84538092,8,25,0.1,0.4962085957,0.4954013419,0.4922401557,local-medium,False,True,False,local-medium benchmark qualification; conservative maximum local-medium-to-fine difference at MC01/MC02,adaptive transient solve converged; independent time-step study not performed
HV02_composite_radiation,100,28.28252256,28.0911407,27.59981348,12,25,0.1,0.4962085957,0.4954013419,0.4922401557,local-medium,False,True,False,local-medium benchmark qualification; conservative maximum local-medium-to-fine difference at MC01/MC02,adaptive transient solve converged; independent time-step study not performed
HV02_composite_radiation,120,31.24546586,30.95870759,30.22142635,12,25,0.08333333333,0.4962085957,0.4954013419,0.4922401557,local-medium,False,True,False,local-medium benchmark qualification; conservative maximum local-medium-to-fine difference at MC01/MC02,adaptive transient solve converged; independent time-step study not performed
HV02_composite_radiation,140,33.97465202,33.68063657,32.88874523,12,25,0.06666666667,0.4962085957,0.4954013419,0.4922401557,local-medium,False,True,False,local-medium benchmark qualification; conservative maximum local-medium-to-fine difference at MC01/MC02,adaptive transient solve converged; independent time-step study not performed
HV02_composite_radiation,160,36.5948217,36.29892334,35.49112482,12,28.33333333,0.05,0.4962085957,0.4954013419,0.4922401557,local-medium,False,True,False,local-medium benchmark qualification; conservative maximum local-medium-to-fine difference at MC01/MC02,adaptive transient solve converged; independent time-step study not performed
HV02_composite_radiation,180,39.25308989,38.95845575,38.16124718,12,31.66666667,0.05,0.4962085957,0.4954013419,0.4922401557,local-medium,False,True,False,local-medium benchmark qualification; conservative maximum local-medium-to-fine difference at MC01/MC02,adaptive transient solve converged; independent time-step study not performed
HV02_composite_radiation,200,41.93067917,41.63645118,40.84286941,12,35,0.05,0.4962085957,0.4954013419,0.4922401557,local-medium,False,True,False,local-medium benchmark qualification; conservative maximum local-medium-to-fine difference at MC01/MC02,adaptive transient solve converged; independent time-step study not performed
HV02_composite_radiation,220,44.63197071,44.33824959,43.54908334,12,35,0.05,0.4962085957,0.4954013419,0.4922401557,local-medium,False,True,False,local-medium benchmark qualification; conservative maximum local-medium-to-fine difference at MC01/MC02,adaptive transient solve converged; independent time-step study not performed
