time,chip,sink_base,fins,chip_power,coolant_temperature,truth_chip_max,truth_hidden_power,case_id,case_group,fidelity,input_convention,source_model
0,25,25,25,0,25,25,0,T13_coolant_multilevel,multilevel,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
2,25,25,25,0,25,25,0,T13_coolant_multilevel,multilevel,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
4,25,25,25,0,25,25,0,T13_coolant_multilevel,multilevel,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
6,25,25,25,0,25,25,0,T13_coolant_multilevel,multilevel,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
8,25,25,25,0,25,25,0,T13_coolant_multilevel,multilevel,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
10,25,25,25,0,25,25,0,T13_coolant_multilevel,multilevel,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
12,25,25,25,0,25,25,0,T13_coolant_multilevel,multilevel,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
14,25,25,25,0,25,25,0,T13_coolant_multilevel,multilevel,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
16,25,25,25,0,25,25,0,T13_coolant_multilevel,multilevel,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
18,25,25,25,0,25,25,0,T13_coolant_multilevel,multilevel,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
20,25,25,25,0,25,25,0,T13_coolant_multilevel,multilevel,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
22,25,25,25,4,25,25,0,T13_coolant_multilevel,multilevel,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
24,25.204592,25.14054855,25.05084814,8,25,25.23531722,0,T13_coolant_multilevel,multilevel,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
26,25.5506104,25.41007683,25.17399298,8,25,25.62217773,0,T13_coolant_multilevel,multilevel,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
28,25.82502093,25.66409429,25.32349933,8,25,25.91401717,0,T13_coolant_multilevel,multilevel,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
30,26.05478808,25.8893302,25.49550271,8,25,26.14907395,0,T13_coolant_multilevel,multilevel,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
32,26.26752625,26.10036698,25.67719611,8,25,26.36400865,0,T13_coolant_multilevel,multilevel,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
34,26.47209231,26.30350588,25.86334106,8,25,26.57006609,0,T13_coolant_multilevel,multilevel,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
36,26.67165755,26.5019313,26.05153922,8,25,26.7707779,0,T13_coolant_multilevel,multilevel,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
38,26.86786145,26.69732389,26.24053037,8,25,26.96783718,0,T13_coolant_multilevel,multilevel,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
40,27.06171808,26.89060458,26.42960035,8,25,27.16232301,0,T13_coolant_multilevel,multilevel,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
42,27.25384051,27.08229495,26.61833902,8,25,27.35491674,0,T13_coolant_multilevel,multilevel,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
44,27.44458398,27.27269469,26.80651312,8,25,27.54602501,0,T13_coolant_multilevel,multilevel,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
46,27.63437855,27.46219669,26.99418408,8,25,27.73612024,0,T13_coolant_multilevel,multilevel,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
48,27.82321548,27.65077921,27.18118901,8,25,27.92520753,0,T13_coolant_multilevel,multilevel,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
50,28.01108468,27.83842266,27.36741952,8,25,28.1132875,0,T13_coolant_multilevel,multilevel,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
52,28.19800697,28.02513959,27.55282557,8,25,28.30039116,0,T13_coolant_multilevel,multilevel,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
54,28.38400934,28.21095069,27.73738711,8,25,28.48655393,0,T13_coolant_multilevel,multilevel,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
56,28.56911297,28.39587283,27.92109709,8,25,28.67180317,0,T13_coolant_multilevel,multilevel,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
58,28.75333231,28.57991761,28.10395397,8,25,28.85615758,0,T13_coolant_multilevel,multilevel,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
60,28.93667739,28.76309319,28.28595868,8,25,29.03963009,0,T13_coolant_multilevel,multilevel,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
62,29.11915576,28.94540586,28.46711338,8,25,29.22223028,0,T13_coolant_multilevel,multilevel,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
64,29.30077366,29.12686097,28.64742087,8,25,29.40396583,0,T13_coolant_multilevel,multilevel,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
66,29.48153657,29.30746338,28.82688437,8,25,29.58484323,0,T13_coolant_multilevel,multilevel,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
68,29.66144947,29.48721763,29.00550731,8,25,29.7648682,0,T13_coolant_multilevel,multilevel,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
70,29.84051701,29.66612804,29.18329329,8,25,29.94404594,0,T13_coolant_multilevel,multilevel,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
72,30.0187436,29.84419883,29.36024599,8,25,30.12238124,0,T13_coolant_multilevel,multilevel,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
74,30.19613353,30.02143408,29.53636917,8,25,30.29987865,0,T13_coolant_multilevel,multilevel,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
76,30.37269092,30.19783782,29.71166661,8,25,30.47654253,0,T13_coolant_multilevel,multilevel,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
78,30.54841986,30.37341404,29.88614209,8,25,30.65237707,0,T13_coolant_multilevel,multilevel,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
80,30.72332434,30.54816666,30.05979942,8,25,30.82738639,0,T13_coolant_multilevel,multilevel,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
82,30.8974083,30.7220996,30.2326424,8,25,31.0015745,0,T13_coolant_multilevel,multilevel,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
84,31.07067566,30.89521671,30.40467482,8,25,31.17494539,0,T13_coolant_multilevel,multilevel,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
86,31.24313028,31.06752186,30.57590045,8,25,31.34750295,0,T13_coolant_multilevel,multilevel,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
88,31.414776,31.23901885,30.74632307,8,25,31.51925106,0,T13_coolant_multilevel,multilevel,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
90,31.58561665,31.4097115,30.91594644,8,25,31.69019356,0,T13_coolant_multilevel,multilevel,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
92,31.75565602,31.57960357,31.08477428,8,25,31.86033426,0,T13_coolant_multilevel,multilevel,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
94,31.92489787,31.74869884,31.25281034,8,25,32.02967693,0,T13_coolant_multilevel,multilevel,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
96,32.09334595,31.91700103,31.42005832,8,25,32.19822535,0,T13_coolant_multilevel,multilevel,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
98,32.26100399,32.08451388,31.58652191,8,25,32.36598324,0,T13_coolant_multilevel,multilevel,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
100,32.4278757,32.25124109,31.75220478,8,25,32.53295432,0,T13_coolant_multilevel,multilevel,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
102,32.59396477,32.41718634,31.91711061,8,25,32.69914229,0,T13_coolant_multilevel,multilevel,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
104,32.75927488,32.5823533,32.08124303,8,25,32.86455083,0,T13_coolant_multilevel,multilevel,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
106,32.92380967,32.74674562,32.24460567,8,25,33.02918359,0,T13_coolant_multilevel,multilevel,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
108,33.08757279,32.91036695,32.40720213,8,25,33.19304421,0,T13_coolant_multilevel,multilevel,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
110,33.25056786,33.07322088,32.56903602,8,25,33.35613632,0,T13_coolant_multilevel,multilevel,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
112,33.41279848,33.23531103,32.73011091,8,25,33.51846352,0,T13_coolant_multilevel,multilevel,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
114,33.57426823,33.39664097,32.89043035,8,25,33.68002941,0,T13_coolant_multilevel,multilevel,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
116,33.73498069,33.55721427,33.04999789,8,25,33.84083754,0,T13_coolant_multilevel,multilevel,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
118,33.89493941,33.71703448,33.20881706,8,25,34.00089148,0,T13_coolant_multilevel,multilevel,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
120,34.05414791,33.87610513,33.36689137,8,25,34.16019477,0,T13_coolant_multilevel,multilevel,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
122,34.21260972,34.03442974,33.52422431,8,25,34.31875092,0,T13_coolant_multilevel,multilevel,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
124,34.37032835,34.1920118,33.68081935,8,25,34.47656344,0,T13_coolant_multilevel,multilevel,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
126,34.52730727,34.3488548,33.83667996,8,25,34.63363582,0,T13_coolant_multilevel,multilevel,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
128,34.68354996,34.50496221,33.99180958,8,25,34.78997152,0,T13_coolant_multilevel,multilevel,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
130,34.83905987,34.66033746,34.14621164,8,25,34.94557401,0,T13_coolant_multilevel,multilevel,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
132,34.99384044,34.81498401,34.29988955,8,25,35.10044672,0,T13_coolant_multilevel,multilevel,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
134,35.14789508,34.96890526,34.45284671,8,25,35.25459308,0,T13_coolant_multilevel,multilevel,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
136,35.30122721,35.12210462,34.60508651,8,25,35.40801649,0,T13_coolant_multilevel,multilevel,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
138,35.4538402,35.27458548,34.75661229,8,25,35.56072034,0,T13_coolant_multilevel,multilevel,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
140,35.60573744,35.42635119,34.90742742,8,25,35.712708,0,T13_coolant_multilevel,multilevel,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
142,35.75692228,35.57740513,35.05753522,8,25,35.86398284,0,T13_coolant_multilevel,multilevel,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
144,35.90739806,35.72775061,35.20693901,8,25,36.01454821,0,T13_coolant_multilevel,multilevel,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
146,36.0571681,35.87739098,35.3556421,8,25,36.16440741,0,T13_coolant_multilevel,multilevel,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
148,36.20623573,36.02632953,35.50364777,8,25,36.31356378,0,T13_coolant_multilevel,multilevel,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
150,36.35460422,36.17456956,35.65095929,8,25,36.4620206,0,T13_coolant_multilevel,multilevel,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
152,36.50227686,36.32211433,35.79757992,8,25,36.60978116,0,T13_coolant_multilevel,multilevel,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
154,36.64925692,36.46896713,35.94351289,8,25,36.75684871,0,T13_coolant_multilevel,multilevel,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
156,36.79554764,36.61513118,36.08876144,8,25,36.90322652,0,T13_coolant_multilevel,multilevel,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
158,36.94115225,36.76060972,36.23332877,8,25,37.04891782,0,T13_coolant_multilevel,multilevel,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
160,37.08607398,36.90540596,36.37721808,8,25,37.19392582,0,T13_coolant_multilevel,multilevel,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
162,37.23031602,37.04952311,36.52043254,8,21.5,37.33825373,0,T13_coolant_multilevel,multilevel,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
164,37.36871012,37.1864578,36.65029615,8,18,37.47737782,0,T13_coolant_multilevel,multilevel,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
