time,chip,sink_base,fins,chip_power,coolant_temperature,truth_chip_max,truth_hidden_power,case_id,case_group,fidelity,input_convention,source_model
0,25,25,25,0,25,25,0,T14_combined_recipe,combined,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
2,25,25,25,0,25,25,0,T14_combined_recipe,combined,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
4,25,25,25,0,25,25,0,T14_combined_recipe,combined,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
6,25,25,25,0,25,25,0,T14_combined_recipe,combined,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
8,25,25,25,0,25,25,0,T14_combined_recipe,combined,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
10,25,25,25,0,25,25,0,T14_combined_recipe,combined,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
12,25,25,25,0,25,25,0,T14_combined_recipe,combined,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
14,25,25,25,0,25,25,0,T14_combined_recipe,combined,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
16,25,25,25,0,25,25,0,T14_combined_recipe,combined,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
18,25,25,25,0,25,25,0,T14_combined_recipe,combined,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
20,25,25,25,0,25,25,0,T14_combined_recipe,combined,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
22,25,25,25,0,25,25,0,T14_combined_recipe,combined,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
24,25,25,25,0,25,25,0,T14_combined_recipe,combined,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
26,25,25,25,0,25,25,0,T14_combined_recipe,combined,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
28,25,25,25,0,25,25,0,T14_combined_recipe,combined,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
30,25,25,25,0,25,25,0,T14_combined_recipe,combined,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
32,25,25,25,0,25,25,0,T14_combined_recipe,combined,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
34,25,25,25,0,25,25,0,T14_combined_recipe,combined,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
36,25,25,25,0,25,25,0,T14_combined_recipe,combined,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
38,25,25,25,0,25,25,0,T14_combined_recipe,combined,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
40,25,25,25,0,25,25,0,T14_combined_recipe,combined,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
42,25,25,25,3,25,25,0,T14_combined_recipe,combined,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
44,25.13949455,25.09582855,25.03466918,6,25,25.16044356,0,T14_combined_recipe,combined,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
46,25.40331509,25.29876355,25.12556541,6,25,25.4563008,0,T14_combined_recipe,combined,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
48,25.61097702,25.49031029,25.23685527,6,25,25.67758382,0,T14_combined_recipe,combined,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
50,25.78386015,25.65977819,25.36550509,6,25,25.85451987,0,T14_combined_recipe,combined,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
52,25.94367405,25.81835503,25.50161155,6,25,26.01598602,0,T14_combined_recipe,combined,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
54,26.09727712,25.97088325,25.64114103,6,25,26.1707148,0,T14_combined_recipe,combined,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
56,26.24707636,26.11981271,25.78225615,6,25,26.32138457,0,T14_combined_recipe,combined,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
58,26.39431558,26.26643338,25.92399285,6,25,26.46927416,0,T14_combined_recipe,combined,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
60,26.53977026,26.4114506,26.0658043,6,25,26.6152068,0,T14_combined_recipe,combined,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
