time,chip,sink_base,fins,chip_power,coolant_temperature,truth_chip_max,truth_hidden_power,case_id,case_group,fidelity,input_convention,source_model
0,40.00000013,39.9999871,39.99995994,0,30,40.00000114,0,T16_warm_start,initialization,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
2,39.97489587,39.96927826,39.93959104,0,30,39.9781369,0,T16_warm_start,initialization,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
4,39.93771313,39.93075264,39.88647777,0,30,39.94203606,0,T16_warm_start,initialization,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
6,39.89606408,39.88847927,39.83684007,0,30,39.9009323,0,T16_warm_start,initialization,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
8,39.85254719,39.84462355,39.78885073,0,30,39.85774707,0,T16_warm_start,initialization,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
10,39.8080334,39.79992425,39.74191795,0,30,39.81342986,0,T16_warm_start,initialization,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
12,39.76304213,39.75483458,39.6956805,0,30,39.76855377,0,T16_warm_start,initialization,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
14,39.71786988,39.70961611,39.64992977,0,30,39.72344741,0,T16_warm_start,initialization,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
16,39.67268526,39.66441699,39.6045467,0,30,39.67829789,0,T16_warm_start,initialization,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
18,39.62754228,39.61927727,39.55940932,0,30,39.63317216,0,T16_warm_start,initialization,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
20,39.58251049,39.57426074,39.51451009,0,30,39.58814454,0,T16_warm_start,initialization,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
22,39.53763489,39.52940853,39.46984583,0,30,39.54326354,0,T16_warm_start,initialization,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
24,39.4929404,39.48474267,39.42540838,0,30,39.49855704,0,T16_warm_start,initialization,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
26,39.44843991,39.44027405,39.38118965,0,30,39.45404014,0,T16_warm_start,initialization,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
28,39.40413965,39.39600765,39.33718397,0,30,39.40972056,0,T16_warm_start,initialization,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
30,39.36004236,39.35194543,39.29338775,0,30,39.365602,0,T16_warm_start,initialization,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
32,39.31614901,39.30808791,39.24979868,0,30,39.32168608,0,T16_warm_start,initialization,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
34,39.27245972,39.2644349,39.20641509,0,30,39.27797332,0,T16_warm_start,initialization,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
36,39.22897417,39.22098591,39.16323562,0,30,39.2344637,0,T16_warm_start,initialization,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
38,39.1856918,39.17774024,39.12025908,0,30,39.19115687,0,T16_warm_start,initialization,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
40,39.14261192,39.1346971,39.07748438,0,30,39.14805229,0,T16_warm_start,initialization,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
42,39.09973374,39.09185565,39.03491046,0,30,39.10514926,0,T16_warm_start,initialization,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
44,39.05705643,39.049215,38.99253634,0,30,39.06244704,0,T16_warm_start,initialization,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
46,39.01457911,39.00677426,38.95036103,0,30,39.01994479,0,T16_warm_start,initialization,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
48,38.9723009,38.9645325,38.90838358,0,30,38.97764166,0,T16_warm_start,initialization,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
50,38.9302209,38.92248883,38.86660305,0,30,38.93553679,0,T16_warm_start,initialization,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
52,38.88833819,38.88064231,38.82501849,0,30,38.89362928,0,T16_warm_start,initialization,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
54,38.84665187,38.83899203,38.78362899,0,30,38.85191824,0,T16_warm_start,initialization,solid_conduction_contact_constant_convection,left_zero_order_hold,COMSOL Electronic Chip Cooling
